HID_STRG,FROM,TO,OLDLITH,DRILLLOG,COMMENTS,LITH_1,Lith_grouped,Lith_select 
CS87-81,44.7,44.75,,,,GW Lamp,Greywacke,
CS87-81,44.75,85.4,,,,GW,Greywacke,
CS87-81,85.4,86.4,,,,GW Lamp,Greywacke,
CS87-81,86.4,164.9,,,,GW,Greywacke,
CS87-82,3.7,30.4,,,,GW,Greywacke,
CS87-82,30.4,95.0,,,,GW Silt,Greywacke,
CS87-82,95.0,194.3,,,,GW,Greywacke,
CS87-82,194.3,196.5,,,,BSU,,
CS87-82,196.5,200.1,,,,GW,Greywacke,
CS87-82,200.1,203.9,,,,Twin,,
CS87-82,203.9,246.6,,,,GW,Greywacke,
CS87-83,4.6,122.2,,,,GW,Greywacke,
CS87-83,122.2,125.6,,,,GW Goug,,
CS87-83,125.6,138.4,,,,GW,Greywacke,
CS87-83,138.4,139.6,,,,Twin,,
CS87-83,139.6,148.4,,,,GW,Greywacke,
CS87-83,148.4,151.0,,,,BSU,,
CS87-83,151.0,197.5,,,,GW,Greywacke,
CS87-84,3.0,160.3,,,,GW,Greywacke,
CS87-84,160.3,161.1,,,,BSU,,
CS87-84,161.1,163.4,,,,Twin,,
CS87-84,163.4,168.6,,,,GW,Greywacke,
CS87-84,168.6,170.5,,,,BSU,,
CS87-84,170.5,206.4,,,,GW,Greywacke,
CS87-84,206.4,217.0,,,,Shr,Fault or shear,
CS87-84,217.0,221.2,,,,GW,Greywacke,
CS87-84,221.2,221.25,,,,GW Goug,,
CS87-84,221.25,231.2,,,,GW,Greywacke,
CS87-84,231.2,234.4,,,,Frag,Greywacke,
CS87-85,3.0,115.6,,,,GW,Greywacke,
CS87-85,115.6,116.0,,,,BSU,,
CS87-85,116.0,131.5,,,,GW,Greywacke,
CS87-85,131.5,133.9,,,,Twin,,
CS87-85,133.9,135.4,,,,BSU,,
CS87-85,135.4,226.5,,,,GW,Greywacke,
CS88-100,3.2,73.0,,,,Silt,Greywacke,
CS88-100,73.0,104.0,,,,GW,Greywacke,
CS88-100,104.0,125.8,,,,Silt,Greywacke,
CS88-100,125.8,371.1,,,,GW,Greywacke,
CS88-101,0.0,102.1,,,,GW Silt,Greywacke,Greywacke
CS88-101,102.1,314.8,,,,GW,Greywacke,Greywacke
CS88-101-SnipDbs,0.0,102.1,,,,GW Silt,Greywacke,
CS88-101-SnipDbs,102.1,314.8,,,,GW,Greywacke,
CS88-102,3.0,311.5,,,,GW,Greywacke,
CS88-103,4.6,142.4,,,,GW Silt,Greywacke,
CS88-103,142.4,229.5,,,,GW,Greywacke,
CS88-103,229.5,287.8,,,,GW Frag,,
CS88-104,3.7,56.0,,,,GW Silt,Greywacke,
CS88-104,56.0,187.6,,,,GW,Greywacke,
CS88-104,187.6,194.4,,,,BSU,,
CS88-104,194.4,289.9,,,,GW,Greywacke,
CS88-105,3.0,150.1,,,,GW,Greywacke,
CS88-105,150.1,150.15,,,,GW Goug,,
CS88-105,150.15,159.6,,,,GW,Greywacke,
CS88-105,159.6,160.3,,,,GW Goug,,
CS88-105,160.3,162.8,,,,GW,Greywacke,
CS88-105,162.8,215.2,,,,GW Silt,Greywacke,
CS88-105,215.2,249.9,,,,GW,Greywacke,
CS88-105,249.9,269.5,,,,Silt,Greywacke,
CS88-105,269.5,277.6,,,,GW,Greywacke,
CS88-105,277.6,282.4,,,,BSU,,
CS88-105,282.4,351.6,,,,GW,Greywacke,
CS88-105,351.6,356.3,,,,GW Lamp,Greywacke,
CS88-105,356.3,358.9,,,,GW,Greywacke,
CS88-106,3.0,67.0,,,,GW,Greywacke,Greywacke
CS88-106,67.0,142.0,,,,GW Silt,Greywacke,Greywacke
CS88-106,142.0,242.7,,,,GW,Greywacke,Greywacke
CS88-106,242.7,244.0,,,,BSU,,
CS88-106,244.0,249.8,,,,GW,Greywacke,Greywacke
CS88-106,249.8,252.3,,,,BSU,,
CS88-106,252.3,344.1,,,,GW,Greywacke,Greywacke
CS88-106,344.1,344.15,,,,GW Lamp,Greywacke,Greywacke
CS88-106,344.15,357.2,,,,GW,Greywacke,Greywacke
CS88-106,357.2,366.5,,,,GW Lamp,Greywacke,Greywacke
CS88-106,366.5,399.0,,,,GW,Greywacke,Greywacke
CS88-107,1.5,9.1,,,,GW,Greywacke,
CS88-107,9.1,31.6,,,,GW Frag,,
CS88-107,31.6,147.02,,,,GW,Greywacke,
CS88-107,147.02,174.9,,,,GW Silt,Greywacke,
CS88-107,174.9,179.6,,,,GW,Greywacke,
CS88-107,179.6,180.5,,,,BSU,,
CS88-107,180.5,180.55,,,,BSU Goug,,
CS88-107,180.55,183.6,,,,BSU,,
CS88-107,183.6,214.0,,,,GW,Greywacke,
CS88-107,214.0,242.72,,,,Silt,Greywacke,
CS88-107,242.72,288.6,,,,GW,Greywacke,
CS88-108,5.2,68.1,,,,GW,Greywacke,
CS88-108,68.1,68.8,,,,GW Goug,,
CS88-108,68.8,73.6,,,,GW,Greywacke,
CS88-108,73.6,74.8,,,,GW Goug,,
CS88-108,74.8,140.5,,,,GW,Greywacke,
CS88-108,140.5,142.1,,,,GW Goug,,
CS88-108,142.1,159.8,,,,GW,Greywacke,
CS88-108,159.8,160.6,,,,GW Goug,,
CS88-108,160.6,161.8,,,,GW,Greywacke,
CS88-108,161.8,161.85,,,,GW Goug,,
CS88-108,161.85,225.8,,,,GW,Greywacke,
CS88-109,3.0,85.9,,,,GW,Greywacke,
CS88-109,85.9,85.95,,,,GW Goug,,
CS88-109,85.95,110.1,,,,GW,Greywacke,
CS88-109,110.1,115.9,,,,GW Frag,,
CS88-109,115.9,130.5,,,,Silt,Greywacke,
CS88-109,130.5,182.3,,,,GW,Greywacke,
CS88-109,182.3,204.0,,,,GW Frag,,
CS88-109,204.0,243.9,,,,GW,Greywacke,
CS88-86,8.8,141.8,,,,GW,Greywacke,
CS88-86,141.8,143.6,,,,GW Goug,,
CS88-86,143.6,176.2,,,,GW,Greywacke,
CS88-86,176.2,176.7,,,,GW Goug,,
CS88-86,176.7,226.7,,,,GW,Greywacke,
CS88-87,3.0,109.6,,,,GW,Greywacke,
CS88-87,109.6,112.6,,,,Twin,,
CS88-87,112.6,114.4,,,,BSU,,
CS88-87,114.4,114.7,,,,Twin,,
CS88-87,114.7,159.9,,,,GW,Greywacke,
CS88-87,159.9,170.1,,,,GW,Greywacke,
CS88-88,3.7,11.3,,,,GW,Greywacke,
CS88-88,11.3,11.5,,,,GW Goug,,
CS88-88,11.5,17.9,,,,GW,Greywacke,
CS88-88,17.9,17.95,,,,GW Goug,,
CS88-88,17.95,145.1,,,,GW,Greywacke,
CS88-88,145.1,146.6,,,,BSU,,
CS88-88,146.6,159.7,,,,GW,Greywacke,
CS88-88,159.7,160.9,,,,Shr,Fault or shear,
CS88-88,160.9,199.1,,,,GW,Greywacke,
CS88-89,3.0,30.4,,,,GW,Greywacke,
CS88-89,30.4,42.5,,,,GW Silt,Greywacke,
CS88-89,42.5,161.5,,,,GW,Greywacke,
CS88-89,161.5,161.55,,,,GW Goug,,
CS88-89,161.55,162.4,,,,GW,Greywacke,
CS88-89,162.4,163.9,,,,GW BSU,Greywacke,
CS88-89,163.9,170.9,,,,GW,Greywacke,
CS88-89,170.9,170.95,,,,GW Goug,,
CS88-89,170.95,198.7,,,,GW,Greywacke,
CS88-89,198.7,198.75,,,,GW Goug,,
CS88-89,198.75,207.9,,,,GW,Greywacke,
CS88-90,3.0,25.6,,,,GW,Greywacke,
CS88-90,25.6,25.65,,,,GW Goug,,
CS88-90,25.65,29.3,,,,GW,Greywacke,
CS88-90,29.3,32.2,,,,GW Frag,,
CS88-90,32.2,188.0,,,,GW,Greywacke,
CS88-90,188.0,191.7,,,,GW BSU,Greywacke,
CS88-90,191.7,223.8,,,,GW,Greywacke,
CS88-90,223.8,224.1,,,,Twin,,
CS88-90,224.1,339.5,,,,GW,Greywacke,
CS88-91,7.9,83.0,,,,GW,Greywacke,
CS88-91,83.0,95.7,,,,Silt,Greywacke,
CS88-91,95.7,126.4,,,,GW,Greywacke,
CS88-91,126.4,126.45,,,,GW Goug,,
CS88-91,126.45,129.2,,,,GW,Greywacke,
CS88-91,129.2,129.25,,,,GW Goug,,
CS88-91,129.25,140.5,,,,GW,Greywacke,
CS88-91,140.5,152.1,,,,Silt,Greywacke,
CS88-91,152.1,158.0,,,,GW,Greywacke,
CS88-91,158.0,181.3,,,,GW Silt,Greywacke,
CS88-91,181.3,183.8,,,,BSU,,
CS88-91,183.8,314.2,,,,GW,Greywacke,
CS88-91,314.2,314.25,,,,GW Goug,,
CS88-91,314.25,318.7,,,,GW,Greywacke,
CS88-91,318.7,318.75,,,,GW Goug,,
CS88-91,318.75,328.5,,,,GW,Greywacke,
CS88-92,7.3,67.6,,,,GW,Greywacke,
CS88-92,67.6,74.8,,,,GW Silt,Greywacke,
CS88-92,74.8,121.5,,,,GW,Greywacke,
CS88-92,121.5,130.7,,,,GW Silt,Greywacke,
CS88-92,130.7,208.0,,,,GW,Greywacke,
CS88-92,208.0,212.7,,,,BSU,,
CS88-92,212.7,213.2,,,,Twin,,
CS88-92,213.2,303.4,,,,GW,Greywacke,
CS88-92,303.4,303.45,,,,GW Goug,,
CS88-92,303.45,386.9,,,,GW,Greywacke,
CS88-93,0.0,18.0,,,,GW,Greywacke,
CS88-93,18.0,42.0,,,,GW Silt,Greywacke,
CS88-93,42.0,67.9,,,,GW,Greywacke,
CS88-93,67.9,79.3,,,,GW Silt,Greywacke,
CS88-93,79.3,130.7,,,,GW,Greywacke,
CS88-93,130.7,171.3,,,,GW Silt,Greywacke,
CS88-93,171.3,205.1,,,,GW,Greywacke,
CS88-93,205.1,207.0,,,,GW GW,,
CS88-93,207.0,207.3,,,,GW,Greywacke,
CS88-93,207.3,209.0,,,,GW GW,,
CS88-93,209.0,211.1,,,,GW,Greywacke,
CS88-93,211.1,213.0,,,,BSU,,
CS88-93,213.0,286.2,,,,GW,Greywacke,
CS88-94,3.0,153.5,,,,Silt GW,,
CS88-94,153.5,161.3,,,,Silt Frag,,
CS88-94,161.3,179.7,,,,Silt,Greywacke,
CS88-94,179.7,231.4,,,,GW,Greywacke,
CS88-94,231.4,238.0,,,,GW Silt,Greywacke,
CS88-94,238.0,261.0,,,,GW,Greywacke,
CS88-94,261.0,263.1,,,,Twin,,
CS88-94,263.1,266.0,,,,BSU,,
CS88-94,266.0,267.7,,,,Twin,,
CS88-94,267.7,338.1,,,,GW,Greywacke,
CS88-95,3.0,142.9,,,,GW,Greywacke,
CS88-95,142.9,146.2,,,,GW Lamp,Greywacke,
CS88-95,146.2,158.5,,,,GW,Greywacke,
CS88-95,158.5,159.3,,,,GW Lamp,Greywacke,
CS88-95,159.3,176.0,,,,GW,Greywacke,
CS88-95,176.0,190.5,,,,GW Frag,,
CS88-95,190.5,208.4,,,,GW,Greywacke,
CS88-95,208.4,236.8,,,,Silt,Greywacke,
CS88-95,236.8,266.2,,,,GW,Greywacke,
CS88-95,266.2,313.5,,,,GW Frag,,
CS88-95,313.5,320.3,,,,BSU,,
CS88-95,320.3,322.2,,,,GW,Greywacke,
CS88-95,322.2,323.2,,,,Twin,,
CS88-95,323.2,396.4,,,,GW,Greywacke,
CS88-96,3.0,207.0,,,,GW,Greywacke,
CS88-97,1.5,43.2,,,,GW Silt,Greywacke,Greywacke
CS88-97,43.2,251.1,,,,GW,Greywacke,Greywacke
CS88-98,1.5,74.8,,,,GW,Greywacke,
CS88-98,74.8,148.1,,,,GW Silt,Greywacke,
CS88-98,148.1,155.9,,,,GW,Greywacke,
CS88-98,155.9,157.0,,,,GW Goug,,
CS88-98,157.0,273.2,,,,GW,Greywacke,
CS88-98,273.2,273.25,,,,GW Goug,,
CS88-98,273.25,304.5,,,,GW,Greywacke,
CS88-99,3.0,67.6,,,,GW,Greywacke,Greywacke
CS88-99,67.6,225.6,,,,Silt,Greywacke,Greywacke
CS88-99,225.6,301.5,,,,GW,Greywacke,Greywacke
CS89-110,0.0,70.0,,,,GW,Greywacke,
CS89-110,70.0,112.8,,,,GW,Greywacke,
CS89-110,112.8,169.2,,,,GW,Greywacke,
CS89-111,0.0,114.3,,,,GW,Greywacke,
CS93-01,3.3,32.5,,,,Silt GW,,
CS93-01,32.5,52.0,,,,Silt Mst,Greywacke,
CS93-01,52.0,126.5,,,,Silt GW,,
CS93-02,1.5,78.3,,,,GW Silt,Greywacke,
CS93-02,78.3,100.0,,,,GW,Greywacke,
CS93-03,3.7,129.0,,,,GW,Greywacke,Greywacke
CS93-03,129.0,147.6,,,,Cgl,Greywacke,Greywacke
CS93-03,147.6,151.4,,,,GW,Greywacke,Greywacke
CS93-03,151.4,155.0,,,,Cgl,Greywacke,Greywacke
CS93-03,155.0,203.6,,,,GW,Greywacke,Greywacke
CS93-04,2.4,107.6,,,,GW,Greywacke,Greywacke
CS93-04,107.6,111.45,,,,GW,Greywacke,Greywacke
CS93-04,111.45,119.7,,,,Mst,Mudstone,Mudstone
CS93-04,119.7,124.4,,,,GW,Greywacke,Greywacke
CS93-05,26.0,30.0,,,,Mst,Mudstone,Mudstone
CS93-05,30.0,31.3,,,,Por,,
CS93-05,31.3,52.1,,,,Mst,Mudstone,Mudstone
CS93-05,52.1,65.3,,,,GW,Greywacke,Greywacke
CS93-05,65.3,76.2,,,,GW,Greywacke,Greywacke
CS93-06,6.7,157.3,,,,Mst,Mudstone,Mudstone
CS93-06,157.3,165.9,,,,GW,Greywacke,Greywacke
CS93-06,165.9,170.7,,,,GW,Greywacke,Greywacke
CS93-06,170.7,183.1,,,,GW,Greywacke,Greywacke
CS93-06,183.1,200.6,,,,GW,Greywacke,Greywacke
CS93-07,3.0,23.7,,,,Frag,Greywacke,
CS93-07,23.7,103.0,,,,GW,Greywacke,
CS93-112,4.6,114.5,,,,GW,Greywacke,
CS93-112,114.5,124.3,,,,Silt,Greywacke,
CS93-112,124.3,149.8,,,,GW,Greywacke,
CS93-112,149.8,161.3,,,,Silt,Greywacke,
CS93-113,16.8,26.7,,,,GW,Greywacke,
CS93-113,26.7,69.1,,,,Silt,Greywacke,
CS93-113,69.1,87.8,,,,GW,Greywacke,
CS93-114,15.3,32.9,,,,GW,Greywacke,
CS93-114,32.9,42.4,,,,GW Silt,Greywacke,
CS93-114,42.4,45.4,,,,GW,Greywacke,
CS93-115,2.9,6.08,,,,GW,Greywacke,
CS93-115,6.08,7.1,,,,GW,Greywacke,
CS93-116,5.43,200.7,,,,GW,Greywacke,
CS93-116,200.7,228.7,,,,Frag,Greywacke,
CS93-117,3.7,29.3,,,,GW,Greywacke,
CS93-117,29.3,37.9,,,,GW,Greywacke,
CS93-117,37.9,46.5,,,,GW,Greywacke,
CS93-117,46.5,47.5,,,,Lamp,Dykes,
CS93-117,47.5,67.4,,,,Frag,Greywacke,
CS93-117,67.4,78.3,,,,GW,Greywacke,
CS93-117,78.3,84.9,,,,GW,Greywacke,
CS93-117,84.9,111.7,,,,Frag,Greywacke,
CS93-117,111.7,129.1,,,,GW,Greywacke,
CS93-117,129.1,209.4,,,,GW,Greywacke,
CS93-117,209.4,211.6,,,,Twin,,
CS93-117,211.6,212.1,,,,BSU,,
CS93-117,212.1,213.5,,,,GW,Greywacke,
CS93-117,213.5,218.4,,,,Twin,,
CS93-117,218.4,219.6,,,,BSU,,
CS93-117,219.6,229.5,,,,Twin,,
CS93-117,229.5,250.0,,,,GW,Greywacke,
CS93-118,4.6,54.5,,,,Frag,Greywacke,
CS93-118,54.5,68.3,,,,GW,Greywacke,
CS93-118,68.3,99.0,,,,Frag,Greywacke,
CS93-118,99.0,100.8,,,,Silt,Greywacke,
CS93-118,100.8,118.8,,,,Frag,Greywacke,
CS93-118,118.8,122.0,,,,GW,Greywacke,
CS93-118,122.0,133.1,,,,Frag,Greywacke,
CS93-118,133.1,134.1,,,,Lamp,Dykes,
CS93-118,134.1,179.5,,,,Frag,Greywacke,
CS93-118,179.5,195.1,,,,GW,Greywacke,
CS93-119,4.4,31.4,,,,GW,Greywacke,
CS93-119,31.4,77.8,,,,Frag,Greywacke,
CS93-119,77.8,85.4,,,,GW,Greywacke,
CS93-119,85.4,125.4,,,,Frag,Greywacke,
CS93-119,125.4,138.6,,,,GW,Greywacke,
CS93-119,138.6,197.3,,,,Frag,Greywacke,
CS93-119,197.3,198.7,,,,Lamp,Dykes,
CS93-119,198.7,226.9,,,,Frag,Greywacke,
CS93-119,226.9,227.2,,,,Lamp,Dykes,
CS93-119,227.2,248.05,,,,Frag,Greywacke,
CS93-119,248.05,266.9,,,,GW,Greywacke,
CS93-119,266.9,269.0,,,,Lamp,Dykes,
CS93-119,269.0,302.8,,,,Silt,Greywacke,
CS93-119,302.8,302.95,,,,Lamp,Dykes,
CS93-119,302.95,304.9,,,,Silt,Greywacke,
CS93-120,4.1,21.1,,,,GW,Greywacke,
CS93-120,21.1,36.2,,,,Frag,Greywacke,
CS93-120,36.2,88.2,,,,GW Silt,Greywacke,
CS93-120,88.2,102.8,,,,GW,Greywacke,
CS93-120,102.8,111.3,,,,GW Silt,Greywacke,
CS93-120,111.3,151.4,,,,GW,Greywacke,
CS93-120,151.4,161.3,,,,Frag,Greywacke,
CS93-120,161.3,174.9,,,,GW,Greywacke,
CS93-120,174.9,180.2,,,,Frag,Greywacke,
CS93-120,180.2,236.3,,,,GW,Greywacke,
CS93-120,236.3,249.1,,,,Frag,Greywacke,
CS93-120,249.1,253.2,,,,GW Silt,Greywacke,
CS93-120,253.2,281.0,,,,GW,Greywacke,
CS93-120,281.0,288.3,,,,Frag,Greywacke,
CS93-120,288.3,291.5,,,,GW Silt,Greywacke,
CS93-120,291.5,307.9,,,,GW,Greywacke,
CS93-121,4.6,17.9,,,,GW Silt,Greywacke,
CS93-121,17.9,20.8,,,,GW,Greywacke,
CS93-121,20.8,30.2,,,,GW Frag,,
CS93-121,30.2,36.4,,,,GW,Greywacke,
CS93-121,36.4,38.1,,,,GW Silt,Greywacke,
CS93-121,38.1,60.4,,,,Frag,Greywacke,
CS93-121,60.4,67.9,,,,Frag GW,,
CS93-121,67.9,68.9,,,,Lamp,Dykes,
CS93-121,68.9,77.3,,,,GW Frag,,
CS93-121,77.3,82.9,,,,GW Silt,Greywacke,
CS93-121,82.9,99.9,,,,Frag,Greywacke,
CS93-121,99.9,109.44,,,,GW,Greywacke,
CS93-121,109.44,112.7,,,,Frag,Greywacke,
CS93-121,112.7,122.5,,,,GW Silt,Greywacke,
CS93-121,122.5,134.0,,,,GW,Greywacke,
CS93-121,134.0,138.5,,,,Frag,Greywacke,
CS93-121,138.5,180.2,,,,GW Silt,Greywacke,
CS93-121,180.2,183.0,,,,GW GW,,
CS93-121,183.0,205.7,,,,GW,Greywacke,
CS93-121,205.7,210.4,,,,Frag,Greywacke,
CS93-121,210.4,260.0,,,,GW,Greywacke,
CS93-121,260.0,323.8,,,,GW Frag,,
CS93-122,6.2,114.5,,,,GW Silt,Greywacke,
CS93-122,114.5,122.0,,,,GW Frag,,
CS93-122,122.0,172.7,,,,GW Silt,Greywacke,
CS93-122,172.7,178.3,,,,Frag,Greywacke,
CS93-122,178.3,187.5,,,,GW,Greywacke,
CS93-122,187.5,191.2,,,,Frag,Greywacke,
CS93-122,191.2,243.9,,,,GW,Greywacke,
CS93-122,243.9,251.3,,,,Frag,Greywacke,
CS93-122,251.3,253.7,,,,GW,Greywacke,
CS93-122,253.7,260.4,,,,Frag,Greywacke,
CS93-122,260.4,305.1,,,,GW,Greywacke,
CS93-122,305.1,320.1,,,,Frag,Greywacke,
CS93-123,2.8,49.1,,,,GW,Greywacke,
CS93-123,49.1,68.0,,,,GW Frag,,
CS93-123,68.0,97.5,,,,GW,Greywacke,
CS93-123,97.5,98.7,,,,Lamp,Dykes,
CS93-123,98.7,116.7,,,,GW,Greywacke,
CS93-123,116.7,125.4,,,,Frag,Greywacke,
CS93-123,125.4,172.1,,,,Frag,Greywacke,
CS93-123,172.1,172.5,,,,BSU,,
CS93-123,172.5,273.7,,,,Frag,Greywacke,
CS93-123,273.7,273.9,,,,Lamp,Dykes,
CS93-123,273.9,287.5,,,,Frag,Greywacke,
CS93-123,287.5,288.6,,,,Lamp,Dykes,
CS93-123,288.6,299.4,,,,Frag,Greywacke,
CS93-123,299.4,326.2,,,,Frag,Greywacke,
CS93-123,326.2,326.4,,,,Lamp,Dykes,
CS93-123,326.4,327.8,,,,Frag,Greywacke,
CS93-123,327.8,329.2,,,,Frag Lamp,,
CS93-123,329.2,330.5,,,,Frag Frag,,
CS93-123,330.5,330.8,,,,Frag Lamp,,
CS93-123,330.8,332.0,,,,Frag GW,,
CS93-123,332.0,333.2,,,,Frag,Greywacke,
CS93-123,333.2,341.5,,,,Frag,Greywacke,
CS93-124,1.8,140.6,,,,GW Silt,Greywacke,
CS93-124,140.6,174.3,,,,GW Frag,,
CS93-124,174.3,175.6,,,,BSU,,
CS93-124,175.6,199.5,,,,Frag,Greywacke,
CS93-124,199.5,203.0,,,,Silt,Greywacke,
CS93-124,203.0,253.0,,,,Frag GW,,
CS93-124,253.0,255.7,,,,Frag,Greywacke,
CS93-124,255.7,263.2,,,,GW,Greywacke,
CS93-124,263.2,266.4,,,,Silt,Greywacke,
CS93-124,266.4,267.1,,,,Frag,Greywacke,
CS93-124,267.1,273.0,,,,Silt,Greywacke,
CS93-124,273.0,323.5,,,,Silt Frag,,
CS94-08,3.0,7.0,,,,GW,Greywacke,
CS94-08,7.0,12.1,,,,Silt,Greywacke,
CS94-08,12.1,24.9,,,,GW,Greywacke,
CS94-08,24.9,42.8,,,,GW,Greywacke,
CS94-08,42.8,45.5,,,,Por,,
CS94-08,45.5,59.0,,,,GW,Greywacke,
CS94-08,59.0,61.2,,,,Por,,
CS94-08,61.2,63.7,,,,Frag,Greywacke,
CS94-08,63.7,71.3,,,,GW,Greywacke,
CS94-08,71.3,73.6,,,,Silt,Greywacke,
CS94-08,73.6,88.8,,,,GW,Greywacke,
CS94-08,88.8,90.0,,,,Frag,Greywacke,
CS94-08,90.0,150.5,,,,GW,Greywacke,
CS94-08,150.5,159.8,,,,Frag,Greywacke,
CS94-08,159.8,187.8,,,,GW,Greywacke,
CS94-08,187.8,230.0,,,,Frag,Greywacke,
CS94-08,230.0,261.1,,,,Silt,Greywacke,
CS94-08,261.1,266.4,,,,Silt,Greywacke,
CS94-08,266.4,268.8,,,,GW,Greywacke,
CS94-08,268.8,293.8,,,,Silt,Greywacke,
CS94-08,293.8,295.2,,,,Frag,Greywacke,
CS94-08,295.2,295.4,,,,Por,,
CS94-08,295.4,298.5,,,,Silt,Greywacke,
CS94-08,298.5,343.8,,,,Vw,,
CS94-08,343.8,344.8,,,,Fbci,,
CS94-08,344.8,355.0,,,,Fcvw,,
CS94-08,355.0,379.3,,,,Vfrg,,
CS94-08,379.3,404.4,,,,Fcvw,,
CS94-08,404.4,411.8,,,,GW,Greywacke,
CS94-08,411.8,418.5,,,,Fbci,,
CS94-08,418.5,433.1,,,,GW,Greywacke,
CS94-08,433.1,433.7,,,,Fbci,,
CS94-08,433.7,446.7,,,,GW,Greywacke,
CS94-09,193.8,211.9,,,,Silt,Greywacke,
CS94-10,53.6,104.4,,,,GW,Greywacke,
CS94-10,104.4,135.2,,,,Vfrg,,
CS94-10,135.2,160.4,,,,GW,Greywacke,
CS94-10,160.4,161.4,,,,NotLogged,Unknown,
CS94-10,161.4,186.0,,,,Vfrg,,
CS94-10,186.0,195.4,,,,Vw,,
CS94-10,195.4,212.3,,,,GW,Greywacke,
CS94-10,212.3,274.5,,,,GW,Greywacke,
CS94-10,274.5,283.8,,,,Qfrg,,
CS94-10,283.8,296.3,,,,GW,Greywacke,
CS94-10,296.3,316.6,,,,Silt,Greywacke,
CS94-10,316.6,383.8,,,,GW,Greywacke,
CS94-10,383.8,390.3,,,,GW,Greywacke,
CS94-10,390.3,393.2,,,,Frag,Greywacke,
CS94-10,393.2,418.8,,,,GW,Greywacke,
CS94-10,418.8,419.9,,,,Dyke,Dykes,
CS94-10,419.9,422.4,,,,Frag,Greywacke,
CS94-10,422.4,424.5,,,,Dyke,Dykes,
CS94-10,424.5,427.9,,,,Silt,Greywacke,
CS94-10,427.9,431.4,,,,Dyke,Dykes,
CS94-10,431.4,436.8,,,,Silt,Greywacke,
CS94-10,436.8,446.7,,,,Frag,Greywacke,
CS94-10,446.7,480.8,,,,Silt,Greywacke,
CS94-10,480.8,481.8,,,,Frag,Greywacke,
CS94-10,481.8,505.8,,,,GW,Greywacke,
CS94-10,505.8,511.1,,,,GW,Greywacke,
CS94-10,511.1,513.4,,,,Por,,
CS94-11,1.5,6.3,,,,Tuff,Tuffs,
CS94-11,6.3,6.5,,,,Qcv,,
CS94-11,6.5,8.3,,,,GW,Greywacke,
CS94-11,8.3,8.8,,,,Tuff,Tuffs,
CS94-11,8.8,9.6,,,,GW,Greywacke,
CS94-11,9.6,43.5,,,,Tuff,Tuffs,
CS94-11,43.5,53.2,,,,GW,Greywacke,
CS94-11,53.2,58.4,,,,Frag,Greywacke,
CS94-11,58.4,68.5,,,,Tuff,Tuffs,
CS94-11,68.5,72.0,,,,GW,Greywacke,
CS94-11,72.0,82.6,,,,Frag,Greywacke,
CS94-11,82.6,88.6,,,,GW,Greywacke,
CS94-11,88.6,91.6,,,,Vn,Veins,
CS94-11,91.6,99.1,,,,GW,Greywacke,
CS94-11,99.1,109.6,,,,Frag,Greywacke,
CS94-11,109.6,112.0,,,,Vn,Veins,
CS94-11,112.0,116.0,,,,GW Frag,,
CS94-11,116.0,131.1,,,,GW,Greywacke,
CS94-11,131.1,138.4,,,,Silt,Greywacke,
CS94-11,138.4,219.5,,,,Tuff,Tuffs,
CS94-11,219.5,226.1,,,,Frag,Greywacke,
CS94-11,226.1,229.3,,,,Tuff,Tuffs,
CS94-11,229.3,231.7,,,,GW,Greywacke,
CS94-11,231.7,257.6,,,,Tuff,Tuffs,
CS94-11,257.6,317.1,,,,Frag,Greywacke,
CS94-11,317.1,321.4,,,,GW,Greywacke,
CS94-11,321.4,326.5,,,,Frag,Greywacke,
CS94-11,326.5,341.6,,,,GW,Greywacke,
CS94-11,341.6,343.4,,,,Frag,Greywacke,
CS94-11,343.4,501.5,,,,Frag GW,,
CS94-12,3.2,7.8,,,,Tuff,Tuffs,
CS94-12,7.8,90.2,,,,GW,Greywacke,
CS94-12,90.2,95.4,,,,Frag,Greywacke,
CS94-12,95.4,108.6,,,,Frag,Greywacke,
CS94-12,108.6,110.7,,,,Tuff,Tuffs,
CS94-12,110.7,112.0,,,,GW,Greywacke,
CS94-12,112.0,120.2,,,,Tuff,Tuffs,
CS94-12,120.2,133.0,,,,Frag,Greywacke,
CS94-12,133.0,179.4,,,,Frag,Greywacke,
CS94-12,179.4,207.1,,,,GW,Greywacke,
CS94-12,207.1,212.1,,,,Frag,Greywacke,
CS94-12,212.1,251.5,,,,GW,Greywacke,
CS94-125,2.6,39.4,,,,GW,Greywacke,Greywacke
CS94-125,39.4,49.2,,,,Frag,Greywacke,Greywacke
CS94-125,49.2,185.8,,,,GW,Greywacke,Greywacke
CS94-125,185.8,220.4,,,,Tuff,Tuffs,Tuffs
CS94-125,220.4,229.6,,,,Frag,Greywacke,Greywacke
CS94-125,229.6,240.2,,,,Tuff,Tuffs,Tuffs
CS94-125,240.2,244.0,,,,Frag,Greywacke,Greywacke
CS94-125,244.0,268.6,,,,Tuff,Tuffs,Tuffs
CS94-125,268.6,307.5,,,,Frag,Greywacke,Greywacke
CS94-125,307.5,317.6,,,,Tuff,Tuffs,Tuffs
CS94-125,317.6,404.0,,,,GW,Greywacke,Greywacke
CS94-125-SnipDbs,2.6,39.4,,,,GW,Greywacke,
CS94-125-SnipDbs,39.4,49.2,,,,Frag,Greywacke,
